acdnt_cause,loc_info_x,loc_info_y
dog,149199.67,25172.91
dog,131367.62,41566.6
dog,177242.15,57176.8
dog,168832.2502,47338.6643
dog,130661.53,34374.99
dog,129263.7411,39146.191
dog,167585.9686,27754.3559
dog,176773.8516,56845.0779
dog,154117.64,51793.59
dog,162396.54,53159.76
dog,161545.49,53146.94
dog,186664.75,53046.95
dog,158892.42,23329.68
dog,155974.2038,52776.286
dog,183970.77,31539.88
dog,130341.6398,20359.6268
dog,151786.5087,49821.1675
dog,154201.98,51342.4
dog,138803.97,45648.71
dog,182478.69,49732.95
dog,159801.9728,44188.7374
dog,155449.21,52467.66
dog,155449.21,52467.66
dog,137059.0239,36012.1723
dog,166307.77,54354.71
dog,134835.32,26662.97
dog,181766.69,55812.37
dog,158457.32,48636.47
dog,194283.77,46365.58
dog,146925.1217,49674.7586
dog,146925.1217,49674.7586
dog,159324.86,23676.86
dog,150998.406,49307.8165
dog,131052.4163,25038.5117
dog,144516.61,48933.43
dog,161505.84,22633.75
dog,123793.18,33780.06
dog,125004,24143.12
dog,158941.9416,45310.382
dog,135625.67,35516.92
dog,159468.94,52965.31
dog,153923.21,21023.32
dog,174974.42,49743.76
dog,154375.82,21210.94
dog,157695.67,47669.66
dog,132111.97,41427.96
dog,178453.5376,36842.4631
dog,123805.21,33782.19
dog,157611.42,49084.69
dog,178965.69,48003.89
dog,137568.47,23912.23
dog,188524.02,37825.77
dog,133424.42,38097.25
dog,132006.71,39503.36
dog,127944.07,36483.94
dog,161963.78,25103.44
dog,131255.978,40610.4198
dog,124306.85,34365.82
dog,139975.18,48292.57
dog,159068.8,53395.35
dog,196721.5669,50335.2543
dog,126728.0541,35269.1317
dog,187236.44,53341.36
dog,167251.3276,52978.3869
dog,138110.16,22743.45
dog,151885.2513,48487.7771
dog,151885.2513,48487.7771
dog,158457.0409,25208.9126
dog,146303.7,23597.05
dog,159027.2,23736.4
dog,155999.42,51065.45
dog,160178.99,45570.43
dog,130938.81,24803.83
dog,130938.81,24803.83
dog,124117.0097,29050.229
dog,132224.18,26548.86
dog,156399.67,49129.93
dog,129054.44,39081.87
dog,134663.9236,44838.2863
dog,165770.39,51104.49
dog,165816.19,51111.54
dog,155809.4239,47529.2185
dog,155809.4239,47529.2185
dog,152806.12,50178.77
dog,165816.19,51111.54
dog,179028.24,34330.37
dog,179028.24,34330.37
dog,158645.27,23386.88
dog,157668.9681,49740.3283
dog,160178.99,45570.43
dog,186135.96,54192.68
dog,186135.96,54192.68
dog,157316.39,47601.22
dog,168938.37,44516.93
dog,137892.9,22149.64
dog,158443.86,51744.06
dog,172385.43,46270.17
dog,165816.19,51111.54
dog,168588.76,28822.81
dog,146543.9796,23484.444
dog,192036.76,45220.15
dog,159377.4129,53779.2291
dog,166603.25,54695.06
dog,131943.83,20721.2
